Index1,Index2,Word1,Word2,X_Position,Cosine_Similarity
[0],[0],"the great pyramid of giza,one of the seven wonders of the ancient world,stands as a testament to the architectural prowess of the ancient egyptians.","modern software development heavily relies on continuous testing to ensure the reliability and functionality of applications.",0,0.2549979699
[0],[1],"the great pyramid of giza,one of the seven wonders of the ancient world,stands as a testament to the architectural prowess of the ancient egyptians.","testing strategies range from unit testing and integration testing to system testing and user acceptance testing.",0,0.1780166641
[0],[2],"the great pyramid of giza,one of the seven wonders of the ancient world,stands as a testament to the architectural prowess of the ancient egyptians.","automated testing,implemented through frameworks such as selenium and junit,enhances efficiency by executing test scripts without human intervention.",0,0.1662623724
[0],[3],"the great pyramid of giza,one of the seven wonders of the ancient world,stands as a testament to the architectural prowess of the ancient egyptians.","continuous integration and continuous deployment cicd pipelines streamline the development process by incorporating automated testing at various stages.",0,0.1683097566
[0],[4],"the great pyramid of giza,one of the seven wonders of the ancient world,stands as a testament to the architectural prowess of the ancient egyptians.","regression testing helps detect unintended side effects of code modifications,while performance testing assesses an applications behavior under different loads.",0,0.152756407
[0],[5],"the great pyramid of giza,one of the seven wonders of the ancient world,stands as a testament to the architectural prowess of the ancient egyptians.","security testing,on the other hand,identifies vulnerabilities that could be exploited by malicious actors.",0,0.1750929839
[0],[6],"the great pyramid of giza,one of the seven wonders of the ancient world,stands as a testament to the architectural prowess of the ancient egyptians.","by integrating robust testing methodologies,software teams can enhance product quality and user satisfaction,ensuring seamless deployment in real-world environments.",0,0.1550908703
[1],[0],"constructed during the reign of pharaoh khufu,the pyramid's design reflects meticulous planning and engineering mastery.","modern software development heavily relies on continuous testing to ensure the reliability and functionality of applications.",107,0.1768611099
[1],[1],"constructed during the reign of pharaoh khufu,the pyramid's design reflects meticulous planning and engineering mastery.","testing strategies range from unit testing and integration testing to system testing and user acceptance testing.",107,0.178574715
[1],[2],"constructed during the reign of pharaoh khufu,the pyramid's design reflects meticulous planning and engineering mastery.","automated testing,implemented through frameworks such as selenium and junit,enhances efficiency by executing test scripts without human intervention.",107,0.1490590395
[1],[3],"constructed during the reign of pharaoh khufu,the pyramid's design reflects meticulous planning and engineering mastery.","continuous integration and continuous deployment cicd pipelines streamline the development process by incorporating automated testing at various stages.",107,0.1680048179
[1],[4],"constructed during the reign of pharaoh khufu,the pyramid's design reflects meticulous planning and engineering mastery.","regression testing helps detect unintended side effects of code modifications,while performance testing assesses an applications behavior under different loads.",107,0.1260954206
[1],[5],"constructed during the reign of pharaoh khufu,the pyramid's design reflects meticulous planning and engineering mastery.","security testing,on the other hand,identifies vulnerabilities that could be exploited by malicious actors.",107,0.1188889678
[1],[6],"constructed during the reign of pharaoh khufu,the pyramid's design reflects meticulous planning and engineering mastery.","by integrating robust testing methodologies,software teams can enhance product quality and user satisfaction,ensuring seamless deployment in real-world environments.",107,0.133557263
[2],[0],"theories regarding its construction methods suggest the use of ramps,pulleys,and advanced mathematical calculations.","modern software development heavily relies on continuous testing to ensure the reliability and functionality of applications.",214,0.2285721408
[2],[1],"theories regarding its construction methods suggest the use of ramps,pulleys,and advanced mathematical calculations.","testing strategies range from unit testing and integration testing to system testing and user acceptance testing.",214,0.2345095418
[2],[2],"theories regarding its construction methods suggest the use of ramps,pulleys,and advanced mathematical calculations.","automated testing,implemented through frameworks such as selenium and junit,enhances efficiency by executing test scripts without human intervention.",214,0.237915016
[2],[3],"theories regarding its construction methods suggest the use of ramps,pulleys,and advanced mathematical calculations.","continuous integration and continuous deployment cicd pipelines streamline the development process by incorporating automated testing at various stages.",214,0.2131878462
[2],[4],"theories regarding its construction methods suggest the use of ramps,pulleys,and advanced mathematical calculations.","regression testing helps detect unintended side effects of code modifications,while performance testing assesses an applications behavior under different loads.",214,0.1758900677
[2],[5],"theories regarding its construction methods suggest the use of ramps,pulleys,and advanced mathematical calculations.","security testing,on the other hand,identifies vulnerabilities that could be exploited by malicious actors.",214,0.1680321664
[2],[6],"theories regarding its construction methods suggest the use of ramps,pulleys,and advanced mathematical calculations.","by integrating robust testing methodologies,software teams can enhance product quality and user satisfaction,ensuring seamless deployment in real-world environments.",214,0.1962395204
[3],[0],"hieroglyphic inscriptions found within the pyramid's chambers provide insights into the civilization's religious beliefs and cultural practices.","modern software development heavily relies on continuous testing to ensure the reliability and functionality of applications.",321,0.1601637202
[3],[1],"hieroglyphic inscriptions found within the pyramid's chambers provide insights into the civilization's religious beliefs and cultural practices.","testing strategies range from unit testing and integration testing to system testing and user acceptance testing.",321,0.1599943362
[3],[2],"hieroglyphic inscriptions found within the pyramid's chambers provide insights into the civilization's religious beliefs and cultural practices.","automated testing,implemented through frameworks such as selenium and junit,enhances efficiency by executing test scripts without human intervention.",321,0.1412430545
[3],[3],"hieroglyphic inscriptions found within the pyramid's chambers provide insights into the civilization's religious beliefs and cultural practices.","continuous integration and continuous deployment cicd pipelines streamline the development process by incorporating automated testing at various stages.",321,0.2060437747
[3],[4],"hieroglyphic inscriptions found within the pyramid's chambers provide insights into the civilization's religious beliefs and cultural practices.","regression testing helps detect unintended side effects of code modifications,while performance testing assesses an applications behavior under different loads.",321,0.1689155901
[3],[5],"hieroglyphic inscriptions found within the pyramid's chambers provide insights into the civilization's religious beliefs and cultural practices.","security testing,on the other hand,identifies vulnerabilities that could be exploited by malicious actors.",321,0.1740039337
[3],[6],"hieroglyphic inscriptions found within the pyramid's chambers provide insights into the civilization's religious beliefs and cultural practices.","by integrating robust testing methodologies,software teams can enhance product quality and user satisfaction,ensuring seamless deployment in real-world environments.",321,0.1534202679
[4],[0],"the egyptians believed in an afterlife,and the pyramid served as a royal tomb to facilitate the pharaohs journey beyond death.","modern software development heavily relies on continuous testing to ensure the reliability and functionality of applications.",428,0.1638785238
[4],[1],"the egyptians believed in an afterlife,and the pyramid served as a royal tomb to facilitate the pharaohs journey beyond death.","testing strategies range from unit testing and integration testing to system testing and user acceptance testing.",428,0.1409607767
[4],[2],"the egyptians believed in an afterlife,and the pyramid served as a royal tomb to facilitate the pharaohs journey beyond death.","automated testing,implemented through frameworks such as selenium and junit,enhances efficiency by executing test scripts without human intervention.",428,0.1304615346
[4],[3],"the egyptians believed in an afterlife,and the pyramid served as a royal tomb to facilitate the pharaohs journey beyond death.","continuous integration and continuous deployment cicd pipelines streamline the development process by incorporating automated testing at various stages.",428,0.1773470668
[4],[4],"the egyptians believed in an afterlife,and the pyramid served as a royal tomb to facilitate the pharaohs journey beyond death.","regression testing helps detect unintended side effects of code modifications,while performance testing assesses an applications behavior under different loads.",428,0.1846575136
[4],[5],"the egyptians believed in an afterlife,and the pyramid served as a royal tomb to facilitate the pharaohs journey beyond death.","security testing,on the other hand,identifies vulnerabilities that could be exploited by malicious actors.",428,0.1490230904
[4],[6],"the egyptians believed in an afterlife,and the pyramid served as a royal tomb to facilitate the pharaohs journey beyond death.","by integrating robust testing methodologies,software teams can enhance product quality and user satisfaction,ensuring seamless deployment in real-world environments.",428,0.1331194661
[5],[0],"despite centuries of erosion,the structure remains an iconic symbol of human ingenuity and endurance.","modern software development heavily relies on continuous testing to ensure the reliability and functionality of applications.",536,0.2317407351
[5],[1],"despite centuries of erosion,the structure remains an iconic symbol of human ingenuity and endurance.","testing strategies range from unit testing and integration testing to system testing and user acceptance testing.",536,0.1690482101
[5],[2],"despite centuries of erosion,the structure remains an iconic symbol of human ingenuity and endurance.","automated testing,implemented through frameworks such as selenium and junit,enhances efficiency by executing test scripts without human intervention.",536,0.2016559536
[5],[3],"despite centuries of erosion,the structure remains an iconic symbol of human ingenuity and endurance.","continuous integration and continuous deployment cicd pipelines streamline the development process by incorporating automated testing at various stages.",536,0.2272320466
[5],[4],"despite centuries of erosion,the structure remains an iconic symbol of human ingenuity and endurance.","regression testing helps detect unintended side effects of code modifications,while performance testing assesses an applications behavior under different loads.",536,0.1629034678
[5],[5],"despite centuries of erosion,the structure remains an iconic symbol of human ingenuity and endurance.","security testing,on the other hand,identifies vulnerabilities that could be exploited by malicious actors.",536,0.2391639353
[5],[6],"despite centuries of erosion,the structure remains an iconic symbol of human ingenuity and endurance.","by integrating robust testing methodologies,software teams can enhance product quality and user satisfaction,ensuring seamless deployment in real-world environments.",536,0.2290594802
Document_Similarity --> 0.17761788417965202
